Datum,Value
2018/01/01 00:00:00,14.16
2018/01/01 01:00:00,4.74
2018/01/01 02:00:00,3.66
2018/01/01 03:00:00,1.26
2018/01/01 04:00:00,-20.1
2018/01/01 05:00:00,-31.82
2018/01/01 06:00:00,-28.66
2018/01/01 07:00:00,-13.71
2018/01/01 08:00:00,-19.33
2018/01/01 09:00:00,-15.78
2018/01/01 10:00:00,-12.05
2018/01/01 11:00:00,-0.42
2018/01/01 12:00:00,2.3
2018/01/01 13:00:00,2.3
2018/01/01 14:00:00,13.76
2018/01/01 15:00:00,15.43
2018/01/01 16:00:00,25.46
2018/01/01 17:00:00,32.7
2018/01/01 18:00:00,32.7
2018/01/01 19:00:00,23.42
2018/01/01 20:00:00,20.34
2018/01/01 21:00:00,21.95
2018/01/01 22:00:00,23.52
2018/01/01 23:00:00,16.35
2018/01/02 00:00:00,13.02
2018/01/02 01:00:00,8.45
2018/01/02 02:00:00,5.09
2018/01/02 03:00:00,1.64
2018/01/02 04:00:00,1.41
2018/01/02 05:00:00,8.36
2018/01/02 06:00:00,22.58
2018/01/02 07:00:00,41.92
2018/01/02 08:00:00,47.95
2018/01/02 09:00:00,49.9
00:00,5
2018/01/02 11:00:00,49.7
2018/01/02 12:00:00,48.16
2018/01/02 13:00:00,47.24
2018/01/02 14:00:00,46.1
2018/01/02 15:00:00,43.86
2018/01/02 16:00:00,43.64
2018/01/02 17:00:00,47.37
2018/01/02 18:00:00,46.08
2018/01/02 19:00:00,41.08
2018/01/02 20:00:00,34.94
2018/01/02 21:00:00,25.46
2018/01/02 22:00:00,24.71
2018/01/02 23:00:00,19.89
2018/01/03 00:00:00,15.13
2018/01/03 01:00:00,9.25
2018/01/03 02:00:00,8.55
2018/01/03 03:00:00,5.64
2018/01/03 04:00:00,4.11
2018/01/03 05:00:00,7.37
2018/01/03 06:00:00,14.89
2018/01/03 07:00:00,25.73
2018/01/03 08:00:00,29.59
2018/01/03 09:00:00,29.21
00:00,3
00:00,3
2018/01/03 12:00:00,26.39
00:00,3
00:00,3
2018/01/03 15:00:00,32.87
2018/01/03 16:00:00,37.5
2018/01/03 17:00:00,34.55
2018/01/03 18:00:00,36.67
2018/01/03 19:00:00,26.27
2018/01/03 20:00:00,27.32
2018/01/03 21:00:00,21.23
2018/01/03 22:00:00,20.22
2018/01/03 23:00:00,20.95
00:00,2
2018/01/04 01:00:00,9.2
2018/01/04 02:00:00,8.66
2018/01/04 03:00:00,7.7
2018/01/04 04:00:00,9.8
2018/01/04 05:00:00,14.69
2018/01/04 06:00:00,24.24
2018/01/04 07:00:00,33.59
2018/01/04 08:00:00,40.45
2018/01/04 09:00:00,41.97
